10987,4034,3802,3802,1,jsonb_hash
10988,4034,3802,3802,2,jsonb_hash_extended
10989,1029,600,600,1,gist_point_consistent
10990,1029,600,600,2,gist_box_union
10991,1029,600,600,3,gist_point_compress
10992,1029,600,600,5,gist_box_penalty
10993,1029,600,600,6,gist_box_picksplit
10994,1029,600,600,7,gist_box_same
10995,1029,600,600,8,gist_point_distance
10996,1029,600,600,9,gist_point_fetch
10997,2593,603,603,1,gist_box_consistent
10998,2593,603,603,2,gist_box_union
10999,2593,603,603,5,gist_box_penalty
11000,2593,603,603,6,gist_box_picksplit
11001,2593,603,603,7,gist_box_same
11002,2594,604,604,1,gist_poly_consistent
11003,2594,604,604,2,gist_box_union
11004,2594,604,604,3,gist_poly_compress
11005,2594,604,604,5,gist_box_penalty
11006,2594,604,604,6,gist_box_picksplit
11007,2594,604,604,7,gist_box_same
11008,2594,604,604,8,gist_poly_distance
11009,2595,718,718,1,gist_circle_consistent
11010,2595,718,718,2,gist_box_union
11011,2595,718,718,3,gist_circle_compress
11012,2595,718,718,5,gist_box_penalty
11013,2595,718,718,6,gist_box_picksplit
11014,2595,718,718,7,gist_box_same
11015,2595,718,718,8,gist_circle_distance
11016,3655,3614,3614,1,pg_catalog.gtsvector_consistent
11017,3655,3614,3614,2,gtsvector_union
11018,3655,3614,3614,3,gtsvector_compress
11019,3655,3614,3614,4,gtsvector_decompress
11020,3655,3614,3614,5,gtsvector_penalty
11021,3655,3614,3614,6,gtsvector_picksplit
11022,3655,3614,3614,7,gtsvector_same
11023,3702,3615,3615,1,pg_catalog.gtsquery_consistent
11024,3702,3615,3615,2,gtsquery_union
11025,3702,3615,3615,3,gtsquery_compress
11026,3702,3615,3615,5,gtsquery_penalty
11027,3702,3615,3615,6,gtsquery_picksplit
11028,3702,3615,3615,7,gtsquery_same
11029,3919,3831,3831,1,range_gist_consistent
11030,3919,3831,3831,2,range_gist_union
11031,3919,3831,3831,5,range_gist_penalty
11032,3919,3831,3831,6,range_gist_picksplit
11033,3919,3831,3831,7,range_gist_same
11034,3550,869,869,1,inet_gist_consistent
11035,3550,869,869,2,inet_gist_union
11036,3550,869,869,3,inet_gist_compress
11037,3550,869,869,5,inet_gist_penalty
11038,3550,869,869,6,inet_gist_picksplit
11039,3550,869,869,7,inet_gist_same
11040,3550,869,869,9,inet_gist_fetch
11041,2745,2277,2277,2,pg_catalog.ginarrayextract
11042,2745,2277,2277,3,ginqueryarrayextract
11043,2745,2277,2277,4,ginarrayconsistent
11044,2745,2277,2277,6,ginarraytriconsistent
11045,3659,3614,3614,1,gin_cmp_tslexeme
11046,3659,3614,3614,2,pg_catalog.gin_extract_tsvector
11047,3659,3614,3614,3,pg_catalog.gin_extract_tsquery
11048,3659,3614,3614,4,pg_catalog.gin_tsquery_consistent
11049,3659,3614,3614,5,gin_cmp_prefix
11050,3659,3614,3614,6,gin_tsquery_triconsistent
11051,4036,3802,3802,1,gin_compare_jsonb
11052,4036,3802,3802,2,gin_extract_jsonb
11053,4036,3802,3802,3,gin_extract_jsonb_query
11054,4036,3802,3802,4,gin_consistent_jsonb
11055,4036,3802,3802,6,gin_triconsistent_jsonb
11056,4037,3802,3802,1,btint4cmp
11057,4037,3802,3802,2,gin_extract_jsonb_path
11058,4037,3802,3802,3,gin_extract_jsonb_query_path
11059,4037,3802,3802,4,gin_consistent_jsonb_path
11060,4037,3802,3802,6,gin_triconsistent_jsonb_path
11061,3474,3831,3831,1,spg_range_quad_config
11062,3474,3831,3831,2,spg_range_quad_choose
11063,3474,3831,3831,3,spg_range_quad_picksplit
11064,3474,3831,3831,4,spg_range_quad_inner_consistent
11065,3474,3831,3831,5,spg_range_quad_leaf_consistent
11066,3794,869,869,1,inet_spg_config
11067,3794,869,869,2,inet_spg_choose
11068,3794,869,869,3,inet_spg_picksplit
11069,3794,869,869,4,inet_spg_inner_consistent
11070,3794,869,869,5,inet_spg_leaf_consistent
11071,4015,600,600,1,spg_quad_config
11072,4015,600,600,2,spg_quad_choose
11073,4015,600,600,3,spg_quad_picksplit
11074,4015,600,600,4,spg_quad_inner_consistent
11075,4015,600,600,5,spg_quad_leaf_consistent
11076,4016,600,600,1,spg_kd_config
11077,4016,600,600,2,spg_kd_choose
11078,4016,600,600,3,spg_kd_picksplit
11079,4016,600,600,4,spg_kd_inner_consistent
11080,4016,600,600,5,spg_quad_leaf_consistent
11081,4017,25,25,1,spg_text_config
11082,4017,25,25,2,spg_text_choose
11083,4017,25,25,3,spg_text_picksplit
11084,4017,25,25,4,spg_text_inner_consistent
11085,4017,25,25,5,spg_text_leaf_consistent
11086,5000,603,603,1,spg_box_quad_config
11087,5000,603,603,2,spg_box_quad_choose
11088,5000,603,603,3,spg_box_quad_picksplit
11089,5000,603,603,4,spg_box_quad_inner_consistent
